Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
115,D,--,177.0,177.0,195.0,195.0,200.0,200.0,218.0,218.0,72,79,126.0,131.0,--,12°,13°,--,3R,--,--
116,D,--,168.0,168.0,184.0,185.0,197.0,197.0,212.0,213.0,52,56,123.0,128.0,--,10°,11°,--,1R,--,--
117,D,--,182.0,182.0,200.0,200.0,212.0,212.0,231.0,231.0,52,59,130.0,136.0,--,9°,10°,--,1R,--,--
118,D,--,150.0,150.0,162.0,162.0,182.0,182.0,194.0,194.0,33,33,126.0,130.0,--,7°,8°,--,2R,--,--
119,3W,--,23.0,19.0,23.0,19.0,59.0,56.0,59.0,56.0,3,3,43.0,43.0,--,9°,10°,--,0,--,--
120,3W,--,156.0,156.0,170.0,170.0,195.0,195.0,208.0,208.0,30,33,123.0,128.0,--,7°,8°,--,2R,--,--
121,3W,--,22.0,21.0,22.0,21.0,30.0,28.0,30.0,28.0,16,16,35.0,35.0,--,46°,46°,--,0,--,--
122,3W,--,167.0,167.0,183.0,183.0,186.0,186.0,201.0,201.0,75,82,119.0,124.0,--,15°,16°,--,5L,--,--
123,3W,--,121.0,122.0,127.0,128.0,155.0,155.0,161.0,162.0,26,26,109.0,112.0,--,9°,10°,--,4R,--,--
124,3W,--,35.0,32.0,35.0,32.0,77.0,73.0,77.0,73.0,3,3,68.0,68.0,--,9°,10°,--,0,--,--
125,3W,--,170.0,170.0,186.0,186.0,191.0,191.0,207.0,207.0,69,75,119.0,124.0,--,14°,15°,--,3L,--,--
126,3W,--,163.0,163.0,177.0,177.0,199.0,199.0,213.0,214.0,46,49,118.0,123.0,--,11°,12°,--,3L,--,--
127,3W,--,103.0,102.0,106.0,104.0,142.0,141.0,145.0,143.0,16,20,103.0,106.0,--,10°,11°,--,4L,--,--
128,3W,--,46.0,34.0,46.0,34.0,115.0,102.0,115.0,102.0,0,0,101.0,103.0,--,2°,3°,--,0,--,--
129,3W,--,126.0,125.0,132.0,131.0,162.0,161.0,168.0,167.0,23,23,112.0,116.0,--,9°,9°,--,3R,--,--
130,3W,--,131.0,132.0,139.0,140.0,167.0,167.0,175.0,176.0,33,36,106.0,109.0,--,11°,12°,--,2L,--,--
131,3W,--,165.0,165.0,180.0,180.0,194.0,194.0,209.0,209.0,56,59,118.0,122.0,--,12°,13°,--,3L,--,--
132,3W,--,115.0,116.0,120.0,120.0,145.0,147.0,151.0,151.0,26,30,101.0,103.0,--,11°,12°,--,4R,--,--
133,3W,--,23.0,20.0,23.0,20.0,55.0,52.0,55.0,52.0,3,3,49.0,49.0,--,8°,9°,--,0,--,--
134,3H,--,50.0,45.0,50.0,45.0,100.0,94.0,100.0,94.0,3,3,80.0,80.0,--,6°,7°,--,1L,--,--
135,3H,--,27.0,25.0,27.0,25.0,57.0,55.0,57.0,55.0,3,3,43.0,43.0,--,16°,18°,--,0,--,--
136,3H,--,16.0,14.0,16.0,14.0,50.0,48.0,50.0,48.0,3,3,55.0,55.0,--,9°,10°,--,0,--,--
137,3H,--,36.0,34.0,36.0,34.0,68.0,66.0,68.0,66.0,7,7,58.0,58.0,--,14°,16°,--,0,--,--
138,3H,--,37.0,35.0,37.0,35.0,69.0,67.0,69.0,67.0,7,7,62.0,62.0,--,15°,16°,--,0,--,--
139,3H,--,144.0,144.0,155.0,154.0,167.0,167.0,178.0,178.0,52,56,111.0,115.0,--,13°,14°,--,2R,--,--
140,3H,--,39.0,38.0,39.0,38.0,69.0,68.0,70.0,68.0,10,10,67.0,67.0,--,16°,18°,--,0,--,--
141,3H,--,152.0,152.0,164.0,164.0,171.0,171.0,183.0,183.0,66,69,112.0,116.0,--,16°,17°,--,1L,--,--
142,3H,--,32.0,28.0,32.0,28.0,75.0,71.0,75.0,71.0,3,3,61.0,61.0,--,9°,10°,--,0,--,--
143,3H,--,131.0,131.0,139.0,139.0,150.0,150.0,157.0,157.0,56,59,103.0,106.0,--,17°,19°,--,3R,--,--
144,3H,--,133.0,132.0,141.0,141.0,166.0,165.0,174.0,173.0,33,36,108.0,112.0,--,10°,11°,--,0,--,--
145,3H,--,128.0,129.0,136.0,136.0,157.0,157.0,164.0,165.0,36,36,106.0,109.0,--,11°,12°,--,1R,--,--
146,3H,--,28.0,25.0,28.0,25.0,68.0,66.0,68.0,66.0,3,3,68.0,68.0,--,10°,11°,--,0,--,--
147,3H,--,131.0,130.0,139.0,137.0,159.0,157.0,166.0,164.0,36,39,106.0,110.0,--,12°,13°,--,0,--,--
148,3H,--,21.0,20.0,21.0,20.0,42.0,40.0,42.0,40.0,7,7,34.0,34.0,--,27°,28°,--,0,--,--
149,3H,--,129.0,128.0,137.0,136.0,162.0,161.0,168.0,168.0,33,33,106.0,109.0,--,11°,12°,--,1R,--,--
150,3H,--,49.0,26.0,49.0,26.0,110.0,87.0,112.0,87.0,0,0,89.0,91.0,--,1°,1°,--,0,--,--
151,3H,--,95.0,89.0,98.0,91.0,145.0,138.0,148.0,140.0,7,10,107.0,110.0,--,6°,7°,--,0,--,--
152,3H,--,130.0,129.0,138.0,137.0,163.0,162.0,171.0,170.0,33,36,106.0,109.0,--,10°,11°,--,2L,--,--
153,3H,--,138.0,138.0,148.0,148.0,150.0,150.0,160.0,160.0,46,49,107.0,110.0,--,16°,17°,--,4L,--,--
154,3H,--,143.0,143.0,153.0,153.0,165.0,165.0,176.0,176.0,52,59,109.0,113.0,--,16°,17°,--,1L,--,--
155,3H,--,108.0,106.0,112.0,110.0,136.0,133.0,139.0,138.0,33,33,88.0,89.0,--,16°,17°,--,2L,--,--
156,3H,--,136.0,136.0,144.0,144.0,155.0,155.0,164.0,164.0,52,56,105.0,108.0,--,15°,17°,--,3R,--,--
157,3H,--,140.0,140.0,150.0,150.0,163.0,163.0,173.0,173.0,49,52,108.0,112.0,--,14°,15°,--,1R,--,--
158,3H,--,25.0,15.0,25.0,15.0,61.0,51.0,61.0,51.0,0,0,35.0,35.0,--,9°,9°,--,0,--,--
159,3H,--,133.0,133.0,142.0,142.0,171.0,171.0,179.0,179.0,30,30,106.0,109.0,--,10°,11°,--,1L,--,--
160,3H,--,133.0,133.0,141.0,141.0,165.0,164.0,173.0,173.0,36,36,109.0,112.0,--,11°,12°,--,4R,--,--
161,3H,--,103.0,96.0,106.0,98.0,154.0,148.0,157.0,150.0,7,7,113.0,117.0,--,4°,4°,--,0,--,--
162,3H,--,140.0,140.0,150.0,150.0,170.0,170.0,179.0,178.0,39,43,110.0,114.0,--,11°,12°,--,2R,--,--
