Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
79,7i,0.06,125.0,125.0,131.0,131.0,156.0,156.0,163.0,163.0,30,30,109.0,113.0,3°L,10°,11°,11L,0,--,--
80,7i,0.22,152.0,154.0,164.0,166.0,188.0,190.0,201.0,203.0,36,39,117.0,122.0,6°R,10°,11°,13R,1L,--,--
81,7i,-0.04,104.0,101.0,107.0,103.0,143.0,140.0,147.0,142.0,13,13,107.0,111.0,2°R,5°,6°,20R,3R,--,--
82,7i,-0.02,154.0,155.0,167.0,167.0,188.0,188.0,200.0,201.0,43,46,115.0,119.0,9°R,11°,13°,37R,2R,--,--
83,D,-0.07,93.0,89.0,95.0,91.0,129.0,125.0,131.0,127.0,16,20,106.0,109.0,11°R,12°,13°,9R,2L,--,--
84,D,0.1,148.0,148.0,159.0,160.0,172.0,172.0,183.0,184.0,52,56,112.0,117.0,7°R,14°,15°,21R,1R,--,--
85,D,0.31,170.0,170.0,186.0,185.0,203.0,203.0,220.0,219.0,52,59,121.0,126.0,2°R,10°,11°,0,1L,--,--
86,D,-0.25,57.0,52.0,57.0,54.0,94.0,90.0,94.0,90.0,7,7,106.0,109.0,11°R,12°,14°,6R,1L,--,--
87,D,-0.42,35.0,34.0,35.0,34.0,56.0,56.0,56.0,56.0,13,13,58.0,58.0,3°R,22°,23°,0L,0,--,--
88,D,0.14,147.0,147.0,157.0,159.0,184.0,184.0,195.0,195.0,36,39,117.0,122.0,6°R,10°,11°,23R,1R,--,--
89,D,-0.08,85.0,81.0,86.0,82.0,127.0,122.0,129.0,124.0,10,10,89.0,91.0,8°R,9°,10°,7R,1L,--,--
90,D,0.04,135.0,135.0,143.0,143.0,170.0,170.0,177.0,178.0,36,36,110.0,114.0,5°R,11°,12°,27R,3R,--,--
91,D,0.09,128.0,128.0,136.0,135.0,168.0,167.0,175.0,175.0,23,26,113.0,117.0,1°R,8°,9°,20R,3R,--,--
92,D,0.11,149.0,149.0,160.0,161.0,177.0,177.0,188.0,189.0,49,52,113.0,117.0,2°R,12°,13°,23R,3R,--,--
93,D,0.12,157.0,157.0,171.0,171.0,180.0,182.0,194.0,195.0,66,69,116.0,120.0,6°R,14°,16°,25R,2R,--,--
94,D,-0.29,128.0,128.0,135.0,136.0,153.0,153.0,160.0,161.0,39,43,111.0,114.0,5°R,12°,13°,41R,6R,--,--
95,D,-0.05,157.0,157.0,171.0,171.0,180.0,180.0,194.0,194.0,62,66,115.0,119.0,7°R,13°,15°,37R,4R,--,--
96,D,-0.37,132.0,133.0,141.0,141.0,153.0,153.0,162.0,162.0,52,56,104.0,107.0,7°R,15°,17°,44R,6R,--,--
